#Supplementary Table 21: Meta-analysis results for ICD10/ICF subchapter level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICD-10/ICF subchapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Other Intervertebral Disc Disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,983",NA,NA,NA,"6,133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Malignant Neoplasms of Skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,66,20,30,NA,130,51,45,NA,NA,NA,196,196,71,71,76,76,NA,NA,196,196,71,71,76,76
Other Obstructed Labour,NA,NA,0.346,NA,NA,NA,0.059,NA,NA,NA,0.039,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"2,927",NA,NA,NA,"2,609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Peripheral Vascular Diseases,NA,NA,0.562,NA,NA,NA,0.164,NA,NA,NA,0.037,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA,NA,0.485,NA,NA,NA,NA,NA,NA,NA,0.057,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.025,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,NA,NA,310,NA,NA,NA,458,NA,NA,NA,NA,NA,NA,NA,NA,"1,633",NA,NA,NA,NA,NA,NA,NA,"1,633"
Other Retinal Disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA
Other Rheumatoid Arthritis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569,NA,NA,NA,NA,NA,NA,NA,0.057,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.046,NA,NA,NA,NA,NA,NA,2,0,0,1,1,0,0,0,0,4,1,1,0,0,0,0,0,4,1,1,0,0,0,0,94,NA,NA,81,93,NA,NA,NA,NA,491,134,134,NA,NA,NA,NA,NA,491,134,134,NA,NA,NA,NA
"Other Soft Tissue Disorders, Not Elsewhere Classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,608","10,608",NA,NA,NA,NA,NA,NA,"10,608","10,608",NA,NA,NA,NA
Other Specified Disorders of Skin and Subcutaneous Tissue In Diseases Classified Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,NA,NA,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Specified Infectious Agents As the Cause of Diseases Classified to Other Chapters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Spirochaetal Infections,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,254,124,130,326,184,100,84,142,580,580,NA,NA,NA,NA,NA,NA,580,580,NA,NA,NA,NA,NA,NA
Other Symptoms and Signs Involving the Digestive System and Abdomen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA
Other Symptoms and Signs Involving the Urinary System,NA,NA,0.321,NA,NA,NA,NA,NA,NA,NA,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298,NA,NA,NA,NA,NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,0.005,NA,NA,NA,NA,NA,NA,NA,0.015,NA,2,2,3,0,2,2,2,0,0,0,2,0,2,0,3,0,0,0,2,0,2,1,3,2,835,179,691,NA,561,124,420,NA,NA,NA,"1,396",NA,302,NA,"4,211",NA,NA,NA,"1,396",NA,302,174,"4,211","3,542"
Other Systemic Involvement of Connective Tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Venous Embolism and Thrombosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,109,54,NA,NA,181,111,NA,NA,NA,NA,290,290,165,165,"6,030","6,030",NA,NA,290,290,165,165,"6,030","6,030"
Ovarian Dysfunction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,714,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,77,77,NA,NA,NA,NA,NA,NA,77,77
Pain and Other Conditions Associated with Female Genital Organs and Menstrual Cycle,NA,NA,0.371,NA,NA,NA,0.136,NA,NA,NA,0.025,NA,NA,NA,0.015,NA,NA,NA,NA,NA,NA,NA,0.391,0.431,NA,NA,NA,NA,NA,NA,0.024,0.033,NA,NA,NA,NA,NA,NA,0.003,0.000,NA,NA,NA,NA,NA,NA,0.010,0.009,0,0,26,0,0,0,25,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,14,15,NA,NA,"9,175",NA,NA,NA,"6,278",NA,NA,NA,NA,NA,NA,NA,"10,737","11,564",NA,NA,NA,NA,NA,NA,"10,737","11,564"
Paralytic Ileus and Intestinal Obstruction Without Hernia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,748,241,486,"2,003","1,174",382,768,791,"2,752","2,752",NA,NA,NA,NA,NA,NA,"2,752","2,752",NA,NA,NA,NA,NA,NA
Parkinson Disease,NA,0.516,0.359,NA,NA,0.344,0.298,NA,NA,0.046,0.064,NA,NA,0.086,0.043,NA,NA,NA,NA,NA,0.362,0.387,NA,NA,NA,NA,NA,NA,0.040,0.044,NA,NA,NA,NA,NA,NA,0.012,0.012,NA,NA,NA,NA,NA,NA,0.053,0.053,NA,NA,1,7,3,0,1,6,6,0,0,0,0,0,4,3,2,2,0,0,0,0,3,3,2,2,107,241,172,NA,190,386,433,NA,NA,NA,NA,NA,462,359,387,387,NA,NA,NA,NA,359,359,387,387
Population,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,742,NA,NA,NA,574,NA,NA,NA,NA,NA,"1,316","1,316",NA,NA,NA,NA,NA,NA,"1,316","1,316",NA,NA,NA,NA
Preterm Labour and Delivery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,NA,NA,"1,158",NA,NA,NA,652,NA,NA,NA,NA,NA,NA,NA,"1,810","1,810",NA,NA,NA,NA,NA,NA,"1,810","1,810"
Protective Functions of the Skin,NA,NA,0.558,NA,NA,NA,0.115,NA,NA,NA,0.045,NA,NA,NA,0.070,NA,NA,NA,NA,NA,NA,NA,0.536,0.536,NA,NA,NA,NA,NA,NA,0.038,0.038,NA,NA,NA,NA,NA,NA,0.000,0.000,NA,NA,NA,NA,NA,NA,0.050,0.050,1,0,4,1,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,153,NA,208,199,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,408,408,NA,NA,NA,NA,NA,NA,408,408
Psoriasis,NA,NA,NA,0.415,NA,NA,NA,NA,NA,NA,NA,0.094,NA,NA,NA,NA,0.571,0.819,NA,NA,NA,NA,NA,NA,0.078,0.047,NA,NA,NA,NA,NA,NA,0.196,0.000,NA,NA,NA,NA,NA,NA,0.114,0.053,NA,NA,NA,NA,NA,NA,2,1,1,3,2,1,1,1,3,3,0,0,1,0,1,0,3,3,0,0,1,0,1,0,61,14,28,163,56,14,28,48,248,366,NA,NA,28,NA,56,NA,248,366,NA,NA,28,NA,56,NA
Receptor Binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,32,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Respiratory Distress of Newborn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,73,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcoidosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,17,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,"11,240",NA,NA,NA,NA,NA,NA,NA,"11,240",NA,NA,NA,NA
Scoliosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,368,NA,NA,NA,343,NA,NA,NA,NA,NA,711,711,NA,NA,NA,NA,NA,NA,711,711,NA,NA,NA,NA
Senile Cataract,NA,NA,0.786,NA,NA,NA,0.388,NA,NA,NA,0.059,NA,NA,NA,0.098,NA,NA,NA,NA,NA,NA,NA,0.531,0.531,NA,NA,NA,NA,NA,NA,0.028,0.028,NA,NA,NA,NA,NA,NA,0.220,0.220,NA,NA,NA,NA,NA,NA,0.081,0.081,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,NA,NA,678,NA,NA,NA,840,NA,NA,NA,NA,NA,NA,NA,"1,518","1,518",NA,NA,NA,NA,NA,NA,"1,518","1,518"
Sensations Associated with Genital and Reproductive Functions,NA,NA,0.227,NA,NA,NA,NA,NA,NA,NA,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.037,0,0,5,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,4,NA,NA,"2,374",NA,NA,NA,134,NA,NA,NA,NA,NA,NA,NA,372,744,NA,NA,NA,NA,NA,NA,372,744
Sexual Functions,NA,0.310,0.305,NA,NA,0.180,0.117,NA,NA,0.032,0.019,NA,NA,0.021,0.018,NA,NA,NA,NA,NA,0.226,0.112,0.341,0.311,NA,NA,NA,NA,0.055,0.108,0.044,0.025,NA,NA,NA,NA,0.095,0.099,0.000,0.000,NA,NA,NA,NA,0.043,0.093,0.018,0.013,0,12,15,0,0,11,12,0,0,0,1,1,8,3,5,12,0,0,1,1,8,3,5,12,NA,"2,656","5,461",NA,NA,"2,178","2,895",NA,NA,NA,534,534,"4,048",436,"3,189","6,220",NA,NA,534,534,"4,048",436,"3,189","6,220"
Shoulder Lesions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,263,NA,NA,NA,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sister Chromatid Exchange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somatoform Disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,1,2,NA,NA,601,NA,NA,NA,473,NA,NA,NA,NA,"1,055",NA,NA,"1,074","2,619",NA,NA,NA,"1,055",NA,NA,"1,074","2,619"
Specific Developmental Disorders of Scholastic Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,191,NA,NA,321,NA,NA,NA,NA,512,NA,NA,NA,NA,NA,NA,NA,512,NA,NA,NA,NA,NA,NA,NA
Spinal Muscular Atrophy and Related Syndromes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,"43,158",NA,NA,NA,NA,NA,NA,NA,"43,158",NA,NA,NA,NA,NA,NA
Spinal Osteochondrosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"5,718","5,718",NA,NA,NA,NA,NA,NA,"5,718","5,718",NA,NA,NA,NA,NA,NA
Spontaneous Abortion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,204,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,368,368,NA,NA,NA,NA,NA,NA,368,368
Structure of Endocrine Glands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,104,58,46,NA,105,57,48,NA,NA,NA,209,209,115,115,94,94,NA,NA,209,209,115,115,94,94
Structure of External Ear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Structure of Eye Socket,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Structure of Reproductive System,NA,0.614,0.755,NA,NA,NA,0.405,NA,NA,0.045,0.019,NA,NA,NA,0.050,NA,NA,NA,NA,NA,NA,NA,0.568,0.574,NA,NA,NA,NA,NA,NA,0.070,0.067,NA,NA,NA,NA,NA,NA,0.026,0.009,NA,NA,NA,NA,NA,NA,0.019,0.017,0,3,15,0,0,2,10,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,NA,167,"3,165",NA,NA,94,"2,035",NA,NA,NA,NA,NA,NA,NA,"2,684","3,480",NA,NA,NA,NA,NA,NA,"2,684","3,480"
Structure of Shoulder Region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Structure of Uterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,206,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Structures Around Eye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,62,NA,NA,NA,51,NA,NA,NA,172,172,NA,NA,NA,NA,NA,NA,172,172,NA,NA,NA,NA,NA,NA
Syncope and Collapse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Systemic Sclerosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thyroiditis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,0,2,2,2,2,566,282,284,806,570,284,286,236,"1,372","1,372",NA,NA,566,566,570,570,"1,372","1,372",NA,NA,566,566,570,570
